SaleID,RetailerCountry,RetailerType,Product,DateOfSale,TimeOfSale,Timezone
SaleID_1,United States,Outdoors Shop,TrailChef Deluxe Cook Set,06/01/2020,23:20:56,EST
SaleID_2,United States,Outdoors Shop,TrailChef Double Flame,05/02/2020,17:27:08,EST
SaleID_3,United States,Outdoors Shop,Star Dome,30/10/2020,09:04:43,EST
SaleID_4,United States,Outdoors Shop,Star Gazer 2,13/11/2020,04:25:06,EST
SaleID_5,Italy,Outdoors Shop,Canyon Mule Carryall,06/12/2020,11:15:47,CET
SaleID_6,Italy,Outdoors Shop,Firefly 4,07/06/2020,01:54:41,CET
SaleID_7,Italy,Outdoors Shop,Husky Rope 50,27/12/2020,02:07:28,CET
SaleID_8,Italy,Outdoors Shop,Granite Signal Mirror,15/09/2020,11:44:57,CET
SaleID_9,Italy,Outdoors Shop,Granite Carabiner,23/09/2020,01:40:29,CET
SaleID_10,Italy,Outdoors Shop,Granite Grip,24/06/2020,18:43:04,CET
SaleID_11,Italy,Outdoors Shop,Granite Axe,19/05/2019,02:12:30,CET
SaleID_12,Mexico,Mall,Ranger Vision,05/04/2019,07:38:10,CST
SaleID_13,Mexico,Mall,Trail Scout,24/01/2020,08:51:28,CST
SaleID_14,Mexico,Mall,Hailstorm Steel Irons,07/12/2019,08:14:53,CST
SaleID_15,Mexico,Mall,Course Pro Umbrella,13/01/2020,05:32:40,CST
SaleID_16,Mexico,Mall,Course Pro Golf Bag,26/11/2020,10:17:48,CST
SaleID_17,Mexico,Mall,Course Pro Gloves,23/01/2020,19:36:25,CST
SaleID_18,Singapore,Outdoors Shop,Granite Pulley,02/01/2019,01:32:09,Singapore
SaleID_19,Singapore,Outdoors Shop,Firefly Climbing Lamp,20/02/2019,07:07:10,Singapore
SaleID_20,Singapore,Outdoors Shop,Granite Ice,10/04/2019,10:27:26,Singapore
SaleID_21,Singapore,Outdoors Shop,Mountain Man Analog,10/07/2019,05:20:29,Singapore
SaleID_22,Singapore,Outdoors Shop,Mountain Man Digital,03/05/2020,09:54:41,Singapore
SaleID_23,Singapore,Outdoors Shop,Mountain Man Deluxe,25/07/2019,06:51:57,Singapore
