LoanID,Product,CustomerGender,Location,Region,TotalPrice,StartDate,TimeOfLoan,Deposit,LoanStatus
1,Product B,Male,Location 3,Region 2,17600,04/07/2018,23:20:56,2200,Active
2,Product B,Female,Location 6,Region 6,,02/01/2019,17:27:08,2200,Active
3,Product C,Male,Location 8,Region 3,16600,08/12/2016,09:04:43,1000,
4,Product B,Male,Location 26,Region 2,17600,09/10/2016,04:25:06,2200,Active
5,Product D,Female,Location 34,Region 3,21250,28/10/2017,11:15:47,2200,Active
6,Product B,Male,Location 34,Region 1,,19/04/2019,01:54:41,2200,Active
7,Product A,Male,Location 25,,21250,04/07/2020,02:07:28,2200,Active
8,Product B,Male,Location 46,Region 5,17600,24/04/2018,11:44:57,2200,Active
9,Product A,Male,Location 156,Region 6,23250,03/09/2019,01:40:29,5000,
10,Product A,Male,Location 21,Region 9,21250,25/07/2020,18:43:04,2200,Active
11,Product B,Female,Location 13,Region 6,17600,01/05/2018,02:12:30,2200,Active
12,Product D,Female,Location 25,Region 6,21250,29/03/2017,07:38:10,2200,Active
13,Product B,Female,Location 579,Region 3,17600,03/10/2018,08:51:28,2200,Active
14,Product A,Male,Location 602,Region 3,21750,18/09/2019,08:14:53,3000,Active
15,Product A,Male,Location 10,Region 7,23250,20/05/2019,05:32:40,5000,Active
16,Product B,Male,Location 44,Region 2,17600,31/05/2018,10:17:48,2200,Active
17,Product A,Male,Location 25,Region 3,23250,29/08/2019,19:36:25,5000,Active
18,Product B,Male,Location 44,Region 6,17600,06/06/2018,01:32:09,2200,Active
19,Product B,Male,Location 26,Region 6,17600,27/03/2019,07:07:10,2200,Active
20,Product E,NotSpecified,Location 30,Region 6,55625,11/10/2019,10:27:26,8000,Active
21,Product B,Female,Location 48,Region 1,17600,12/05/2018,05:20:29,2200,Active
22,Product A,Female,Location 196,Region 4,23250,07/07/2019,09:54:41,5000,Active
23,Product A,Female,Location 64,Region 12,20250,13/02/2020,06:51:57,1000,Active
24,Product C,NotSpecified,Location 91,Region 2,16600,21/12/2016,04:21:18,1000,Active
25,Product D,Female,Location 62,Region 6,21250,02/10/2017,23:10:18,2200,Active
26,Product A,Male,Location 75,Region 2,23250,11/09/2019,13:23:53,5000,Active
27,Product A,Male,Location 26,Region 1,20250,07/11/2019,15:22:10,1000,Active
28,Product F,Male,Location 42,Region 4,70225,17/04/2020,04:54:42,8000,Active
29,Product D,Male,Location 233,Region 6,21250,14/12/2017,08:31:11,2200,Active
30,Product B,Female,Location 95,Region 2,17600,09/05/2019,14:03:10,2200,Active
31,Product B,Male,Location 78,Region 3,17600,24/02/2018,19:16:17,2200,Active
32,Product B,Female,Location 25,Region 6,17600,09/08/2018,07:43:15,2200,Active
33,Product A,Male,Location 6,Region 5,20250,07/03/2020,13:33:16,1000,Active
34,Product B,Female,Location 61,Region 2,17600,22/02/2018,07:16:01,2200,Active
